"Study_Network_id","pollinator_count","total_pollinator_count","percentage","strategy","n_plants","pollinator_order"
"5_Marini_UNIPD02 P_2019",4,7,57.1428571428571,"Abundance",10,"Hymenoptera"
"5_Marini_UNIPD02 Q_2019",12,12,100,"Abundance",10,"Hymenoptera"
"5_Marini_UNIPD02 S_2019",9,20,45,"Abundance",10,"Hymenoptera"
"5_Marini_UNIPD02 T_2019",7,9,77.7777777777778,"Abundance",10,"Hymenoptera"
"5_Marini_UNIPD02 U_2019",10,13,76.9230769230769,"Abundance",10,"Hymenoptera"
"5_Marini_UNIPD02 V_2019",10,17,58.8235294117647,"Abundance",10,"Hymenoptera"
"5_Marini_UNIPD02 W_2019",17,23,73.9130434782609,"Abundance",10,"Hymenoptera"
"5_Marini_UNIPD02 X_2019",11,16,68.75,"Abundance",10,"Hymenoptera"
"5_Marini_UNIPD02 Y_2019",13,17,76.4705882352941,"Abundance",10,"Hymenoptera"
"5_Marini_UNIPD02 Z_2019",16,18,88.8888888888889,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 CD13_2020",20,20,100,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 CD14_2020",19,22,86.3636363636364,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 CD15_2020",28,30,93.3333333333333,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 CD16_2020",32,43,74.4186046511628,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 CD17_2020",25,40,62.5,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 CD20_2020",31,32,96.875,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 CD22_2020",11,15,73.3333333333333,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 CD23_2020",18,24,75,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 CD26_2020",16,20,80,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 CD27_2020",23,25,92,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 CD28_2020",21,26,80.7692307692308,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 CD29_2020",18,22,81.8181818181818,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 CD2_2020",18,19,94.7368421052632,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 CD34_2020",35,36,97.2222222222222,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 D11_2020",22,22,100,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 D17_2020",20,20,100,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 D21_2020",17,18,94.4444444444444,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 D24_2020",20,20,100,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 D28_2020",16,21,76.1904761904762,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 D29_2020",21,23,91.304347826087,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 D34_2020",28,30,93.3333333333333,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 D35_2020",18,18,100,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 D5_2020",21,23,91.304347826087,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 D8_2020",13,13,100,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 E14_2020",11,21,52.3809523809524,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 E19_2020",14,16,87.5,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 E25_2020",11,13,84.6153846153846,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 E26_2020",24,30,80,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 E31_2020",16,16,100,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 E32_2020",14,14,100,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 E33_2020",30,30,100,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 E35_2020",24,25,96,"Abundance",10,"Hymenoptera"
"6_Marini_UNIPD03 E36_2020",32,32,100,"Abundance",10,"Hymenoptera"
"7_Scheper_Chize_10_Field_boundary_2015",7,19,36.8421052631579,"Abundance",10,"Hymenoptera"
"7_Scheper_Chize_12_Field_boundary_2015",22,30,73.3333333333333,"Abundance",10,"Hymenoptera"
"7_Scheper_Chize_14_Field_boundary_2015",13,34,38.2352941176471,"Abundance",10,"Hymenoptera"
"7_Scheper_Chize_19_Field_boundary_2015",16,20,80,"Abundance",10,"Hymenoptera"
"7_Scheper_Chize_1_Field_boundary_2015",15,18,83.3333333333333,"Abundance",10,"Hymenoptera"
"7_Scheper_Chize_1_Grassland_2015",16,20,80,"Abundance",10,"Hymenoptera"
"7_Scheper_Chize_25_Field_boundary_2015",15,20,75,"Abundance",10,"Hymenoptera"
"7_Scheper_Chize_4_Field_boundary_2015",12,17,70.5882352941177,"Abundance",10,"Hymenoptera"
"7_Scheper_Chize_5_Field_boundary_2015",12,16,75,"Abundance",10,"Hymenoptera"
"7_Scheper_Chize_6_Field_boundary_2015",21,27,77.7777777777778,"Abundance",10,"Hymenoptera"
