Study_Network_id,n_plants_total,total_pollinator_richness,n_plants_sampled,captured_pollinator_richness,repetition,sampling_proportion,sampling_percent,pollinator_richness_captured_percent
22_Kallnik_wmb1_2012,92,11,5,3,1,0.05,5,27.272727272727273
22_Kallnik_wmb2_2011,89,12,5,7,1,0.05,5,58.333333333333336
22_Kallnik_wmb2_2012,108,11,6,1,1,0.05,5,9.090909090909092
22_Kallnik_wmb3_2011,90,10,5,2,1,0.05,5,20
22_Kallnik_wmb3_2012,106,10,6,0,1,0.05,5,0
22_Kallnik_wmb4_2010,84,12,5,1,1,0.05,5,8.333333333333334
22_Kallnik_wmb4_2011,78,13,4,0,1,0.05,5,0
22_Kallnik_wmb4_2012,87,11,5,3,1,0.05,5,27.272727272727273
22_Kallnik_wmb5_2010,91,11,5,8,1,0.05,5,72.72727272727273
22_Kallnik_wmb5_2011,82,11,5,5,1,0.05,5,45.45454545454545
22_Kallnik_wmb5_2012,90,11,5,6,1,0.05,5,54.54545454545455
28_Sutter_10_2013,44,16,3,6,1,0.05,5,37.5
28_Sutter_11_2013,38,14,2,1,1,0.05,5,7.142857142857143
28_Sutter_12_2013,34,12,2,5,1,0.05,5,41.666666666666664
28_Sutter_13_2013,45,13,3,4,1,0.05,5,30.76923076923077
28_Sutter_13_2014,30,11,2,3,1,0.05,5,27.272727272727273
28_Sutter_14_2013,20,12,1,2,1,0.05,5,16.666666666666668
28_Sutter_17_2013,47,17,3,6,1,0.05,5,35.294117647058826
28_Sutter_19_2013,35,20,2,2,1,0.05,5,10
28_Sutter_1_2013,46,14,3,1,1,0.05,5,7.142857142857143
28_Sutter_20_2013,24,15,2,0,1,0.05,5,0
28_Sutter_21_2013,43,16,3,2,1,0.05,5,12.5
28_Sutter_2_2013,29,15,2,2,1,0.05,5,13.333333333333334
28_Sutter_3_2013,34,21,2,0,1,0.05,5,0
28_Sutter_5_2013,50,23,3,3,1,0.05,5,13.043478260869565
28_Sutter_8_2013,34,17,2,6,1,0.05,5,35.294117647058826
28_Sutter_8_2014,22,18,2,3,1,0.05,5,16.666666666666668
29_Magrach_Gibraleon_2011,16,27,1,0,1,0.05,5,0
29_Magrach_Gravera_2011,18,25,1,0,1,0.05,5,0
29_Magrach_Niebla_2011,18,31,1,0,1,0.05,5,0
29_Magrach_Niebla_2012,21,26,2,2,1,0.05,5,7.6923076923076925
29_Magrach_Villablanca_2011,18,22,1,0,1,0.05,5,0
2_Petanidou_Armolia_2015,37,73,2,3,1,0.05,5,4.109589041095891
2_Petanidou_Emborios_2015,21,80,2,18,1,0.05,5,22.5
2_Petanidou_Gridia_2015,38,73,2,17,1,0.05,5,23.28767123287671
2_Petanidou_Kato Fana_2015,14,60,1,2,1,0.05,5,3.3333333333333335
2_Petanidou_Palios Katarraktis_2015,39,73,2,0,1,0.05,5,0
2_Petanidou_Vessa 2_2015,28,98,2,15,1,0.05,5,15.306122448979592
30_Smith_lsk48_2012,30,22,2,3,1,0.05,5,13.636363636363637
30_Smith_lsk57_2011,33,20,2,1,1,0.05,5,5
30_Smith_lsk73_2012,28,19,2,2,1,0.05,5,10.526315789473685
30_Smith_lsk74_2012,27,26,2,0,1,0.05,5,0
30_Smith_lsk77_2011,22,19,2,8,1,0.05,5,42.10526315789474
30_Smith_lsk77_2012,42,25,3,7,1,0.05,5,28
31_Roberts_Hunt_2013,44,12,3,9,1,0.05,5,75
31_Roberts_Jefferies_2013,31,13,2,1,1,0.05,5,7.6923076923076925
31_Roberts_Livingstone_far_2012,30,12,2,1,1,0.05,5,8.333333333333334
31_Roberts_Livingstone_house_2012,30,14,2,1,1,0.05,5,7.142857142857143
31_Roberts_Mearns_2013,32,19,2,3,1,0.05,5,15.789473684210526
31_Roberts_White_left_2012,42,19,3,2,1,0.05,5,10.526315789473685
36_Larkin_Barracks.Lyan.Co.Clare_13.2017_GS1,13,11,1,2,1,0.05,5,18.181818181818183
36_Larkin_Glencolumbkille.South.Carron.Co.Clare_20.2017_GS1,12,13,1,1,1,0.05,5,7.6923076923076925
37_White_An,15,23,1,1,1,0.05,5,4.3478260869565215
37_White_Bl,19,27,1,7,1,0.05,5,25.925925925925927
37_White_Bn,20,26,1,1,1,0.05,5,3.8461538461538463
37_White_CW,26,33,2,6,1,0.05,5,18.181818181818183
37_White_Ce,18,20,1,1,1,0.05,5,5
37_White_Cn,29,34,2,5,1,0.05,5,14.705882352941176
37_White_ED,13,19,1,1,1,0.05,5,5.2631578947368425
37_White_Fs,22,21,2,4,1,0.05,5,19.047619047619047
37_White_JK,25,24,2,5,1,0.05,5,20.833333333333332
37_White_Kr,29,17,2,3,1,0.05,5,17.647058823529413
37_White_ND,25,22,2,2,1,0.05,5,9.090909090909092
37_White_NG,21,25,2,19,1,0.05,5,76
37_White_Pn,12,17,1,3,1,0.05,5,17.647058823529413
37_White_WD,15,23,1,8,1,0.05,5,34.78260869565217
38_Maurer_A1,47,27,3,0,1,0.05,5,0
38_Maurer_A2,76,40,4,5,1,0.05,5,12.5
38_Maurer_A3,69,31,4,0,1,0.05,5,0
38_Maurer_A4,58,31,3,1,1,0.05,5,3.225806451612903
38_Maurer_R1,72,42,4,7,1,0.05,5,16.666666666666668
38_Maurer_R2,54,51,3,5,1,0.05,5,9.803921568627452
38_Maurer_R3,95,48,5,1,1,0.05,5,2.0833333333333335
38_Maurer_R4,66,37,4,0,1,0.05,5,0
38_Maurer_U2,113,64,6,7,1,0.05,5,10.9375
38_Maurer_U3,92,49,5,2,1,0.05,5,4.081632653061225
