Study_Network_id,n_plants_total,total_pollinator_richness,n_plants_sampled,captured_pollinator_richness,repetition,sampling_proportion,sampling_percent,pollinator_richness_captured_percent
39_Schweiger_I1_ruderal_1_2021,23,20,3,8,10,0.1,10,40
39_Schweiger_I2_semi.natural.grass_5_2021,18,27,2,1,10,0.1,10,3.7037037037037037
39_Schweiger_I2_woodland.scrub_1_2021,23,22,3,3,10,0.1,10,13.636363636363637
39_Schweiger_I4_woodland.scrub_3_2021,22,21,3,2,10,0.1,10,9.523809523809524
39_Schweiger_R1_semi.natural.grass_4_2021,15,23,2,2,10,0.1,10,8.695652173913043
39_Schweiger_R4_semi.natural.grass_2_2021,11,25,2,3,10,0.1,10,12
40_Knight_Ghe_ari_2017,30,129,3,16,10,0.1,10,12.4031007751938
41_Knight_1 wooded meadow_2018,39,37,4,18,10,0.1,10,48.648648648648646
41_Knight_2 alvar pasture_2018,32,17,4,0,10,0.1,10,0
41_Knight_3 alvar pasture_2018,21,34,3,1,10,0.1,10,2.9411764705882355
41_Knight_4 wooded meadow_2018,30,23,3,17,10,0.1,10,73.91304347826087
41_Knight_5 wooded meadow_2018,27,47,3,7,10,0.1,10,14.893617021276595
41_Knight_6 alvar pasture_2018,37,23,4,6,10,0.1,10,26.08695652173913
42_Knight_M1Restored_2019,45,25,5,2,10,0.1,10,8
42_Knight_M2Natural_2019,31,19,4,11,10,0.1,10,57.89473684210526
42_Knight_M3Natural_2019,37,17,4,1,10,0.1,10,5.882352941176471
42_Knight_M4Restored_2019,33,19,4,0,10,0.1,10,0
42_Knight_M5Restored_2019,37,21,4,5,10,0.1,10,23.80952380952381
42_Knight_M6Natural_2019,47,35,5,1,10,0.1,10,2.857142857142857
42_Knight_M8Restored_2019,32,15,4,1,10,0.1,10,6.666666666666667
44_Knight_M11_2018,46,33,5,8,10,0.1,10,24.242424242424242
44_Knight_M12_2018,43,55,5,11,10,0.1,10,20
44_Knight_M13_2018,32,23,4,1,10,0.1,10,4.3478260869565215
44_Knight_M15_2018,45,58,5,10,10,0.1,10,17.24137931034483
44_Knight_M16_2018,50,50,5,22,10,0.1,10,44
44_Knight_M17_2018,33,48,4,10,10,0.1,10,20.833333333333332
44_Knight_M18_2018,39,44,4,2,10,0.1,10,4.545454545454546
44_Knight_M1_2018,23,37,3,2,10,0.1,10,5.405405405405405
44_Knight_M3_2018,57,63,6,17,10,0.1,10,26.984126984126984
44_Knight_M4_2018,46,56,5,9,10,0.1,10,16.071428571428573
44_Knight_M6_2018,69,33,7,6,10,0.1,10,18.181818181818183
44_Knight_M8_2018,67,41,7,9,10,0.1,10,21.951219512195124
45_Knight_Hermanovice_meadow_2018,32,47,4,14,10,0.1,10,29.78723404255319
45_Knight_HorniGrunt_meadow_2018,26,38,3,4,10,0.1,10,10.526315789473685
45_Knight_Mnichov_meadow_2018,29,53,3,28,10,0.1,10,52.83018867924528
46_Knight_Gora_Gipsowa_2018,37,41,4,4,10,0.1,10,9.75609756097561
47_Benadi_1,81,190,9,43,10,0.1,10,22.63157894736842
47_Benadi_2,54,162,6,25,10,0.1,10,15.432098765432098
47_Benadi_3,67,150,7,50,10,0.1,10,33.333333333333336
47_Benadi_4,55,144,6,43,10,0.1,10,29.86111111111111
47_Benadi_5,68,131,7,25,10,0.1,10,19.083969465648856
47_Benadi_6,63,96,7,29,10,0.1,10,30.208333333333332
4_Marini_UNIPD01 A_2018,23,69,3,23,10,0.1,10,33.333333333333336
4_Marini_UNIPD01 An_2018,27,54,3,6,10,0.1,10,11.11111111111111
4_Marini_UNIPD01 B_2018,29,58,3,23,10,0.1,10,39.6551724137931
4_Marini_UNIPD01 Bn_2018,32,90,4,18,10,0.1,10,20
4_Marini_UNIPD01 C_2018,37,67,4,20,10,0.1,10,29.850746268656717
4_Marini_UNIPD01 Cn_2018,30,65,3,8,10,0.1,10,12.307692307692308
4_Marini_UNIPD01 E_2018,46,73,5,21,10,0.1,10,28.767123287671232
4_Marini_UNIPD01 En_2018,40,67,4,14,10,0.1,10,20.895522388059703
4_Marini_UNIPD01 F_2018,25,32,3,7,10,0.1,10,21.875
4_Marini_UNIPD01 Fn_2018,29,31,3,8,10,0.1,10,25.806451612903224
4_Marini_UNIPD01 G_2018,25,56,3,24,10,0.1,10,42.857142857142854
4_Marini_UNIPD01 Gn_2018,28,45,3,1,10,0.1,10,2.2222222222222223
4_Marini_UNIPD01 H_2018,50,98,5,2,10,0.1,10,2.0408163265306123
4_Marini_UNIPD01 Hn_2018,38,82,4,12,10,0.1,10,14.634146341463415
4_Marini_UNIPD01 I_2018,33,74,4,17,10,0.1,10,22.972972972972972
4_Marini_UNIPD01 In_2018,44,93,5,13,10,0.1,10,13.978494623655914
50_Hervias-Parejo_Cala Tirant_2021,18,77,2,5,10,0.1,10,6.4935064935064934
50_Hervias-Parejo_Llucalari_2021,11,62,2,20,10,0.1,10,32.25806451612903
50_Hervias-Parejo_Sa Bassa_2021,15,81,2,7,10,0.1,10,8.641975308641975
50_Hervias-Parejo_Salinas_2021,27,95,3,20,10,0.1,10,21.05263157894737
50_Hervias-Parejo_Torre Fornells_2021,21,83,3,7,10,0.1,10,8.433734939759036
50_Hervias-Parejo_coast Son Bou_2021,10,46,1,6,10,0.1,10,13.043478260869565
51_Petanidou_Pyrgos_2013,39,66,4,8,10,0.1,10,12.121212121212121
51_Petanidou_Sigri 3_2012,28,51,3,9,10,0.1,10,17.647058823529413
54_Lazaro_AloeVera_2018_2018,11,60,2,29,10,0.1,10,48.333333333333336
54_Lazaro_SonBaco_2018_2018,14,73,2,12,10,0.1,10,16.438356164383563
54_Lazaro_SonMutNou_2018_2018,12,69,2,11,10,0.1,10,15.942028985507246
54_Lazaro_UIB_2018_2018,20,72,2,32,10,0.1,10,44.44444444444444
5_Marini_UNIPD02 AA_2019,24,24,3,7,10,0.1,10,29.166666666666668
5_Marini_UNIPD02 AB_2019,26,16,3,2,10,0.1,10,12.5
5_Marini_UNIPD02 AC_2019,31,23,4,5,10,0.1,10,21.73913043478261
5_Marini_UNIPD02 AD_2019,20,14,2,2,10,0.1,10,14.285714285714286
5_Marini_UNIPD02 AE_2019,19,35,2,2,10,0.1,10,5.714285714285714
5_Marini_UNIPD02 AF_2019,16,24,2,7,10,0.1,10,29.166666666666668
5_Marini_UNIPD02 AG_2019,25,52,3,9,10,0.1,10,17.307692307692307
5_Marini_UNIPD02 AH_2019,22,35,3,9,10,0.1,10,25.714285714285715
5_Marini_UNIPD02 AI_2019,21,16,3,1,10,0.1,10,6.25
5_Marini_UNIPD02 AJ_2019,10,31,1,9,10,0.1,10,29.032258064516128
5_Marini_UNIPD02 AK_2019,10,21,1,4,10,0.1,10,19.047619047619047
5_Marini_UNIPD02 AL_2019,27,39,3,6,10,0.1,10,15.384615384615385
5_Marini_UNIPD02 AM_2019,31,34,4,6,10,0.1,10,17.647058823529413
5_Marini_UNIPD02 AN_2019,12,20,2,9,10,0.1,10,45
5_Marini_UNIPD02 AO_2019,18,29,2,7,10,0.1,10,24.137931034482758
5_Marini_UNIPD02 AP_2019,16,18,2,1,10,0.1,10,5.555555555555555
5_Marini_UNIPD02 AQ_2019,15,24,2,3,10,0.1,10,12.5
5_Marini_UNIPD02 AS_2019,14,22,2,7,10,0.1,10,31.818181818181817
5_Marini_UNIPD02 AT_2019,16,26,2,2,10,0.1,10,7.6923076923076925
5_Marini_UNIPD02 AV_2019,10,13,1,2,10,0.1,10,15.384615384615385
5_Marini_UNIPD02 A_2019,17,35,2,10,10,0.1,10,28.571428571428573
5_Marini_UNIPD02 B_2019,21,32,3,6,10,0.1,10,18.75
5_Marini_UNIPD02 C_2019,19,35,2,12,10,0.1,10,34.285714285714285
5_Marini_UNIPD02 D_2019,17,32,2,1,10,0.1,10,3.125
5_Marini_UNIPD02 E_2019,12,32,2,7,10,0.1,10,21.875
5_Marini_UNIPD02 G_2019,19,27,2,3,10,0.1,10,11.11111111111111
5_Marini_UNIPD02 H_2019,15,21,2,6,10,0.1,10,28.571428571428573
5_Marini_UNIPD02 I_2019,16,35,2,7,10,0.1,10,20
5_Marini_UNIPD02 K_2019,16,31,2,1,10,0.1,10,3.225806451612903
5_Marini_UNIPD02 L_2019,13,20,2,2,10,0.1,10,10
5_Marini_UNIPD02 M_2019,26,35,3,9,10,0.1,10,25.714285714285715
5_Marini_UNIPD02 N_2019,17,20,2,4,10,0.1,10,20
5_Marini_UNIPD02 O_2019,19,31,2,10,10,0.1,10,32.25806451612903
5_Marini_UNIPD02 P_2019,15,24,2,2,10,0.1,10,8.333333333333334
5_Marini_UNIPD02 Q_2019,18,22,2,1,10,0.1,10,4.545454545454546
5_Marini_UNIPD02 S_2019,22,31,3,11,10,0.1,10,35.483870967741936
5_Marini_UNIPD02 T_2019,21,18,3,1,10,0.1,10,5.555555555555555
5_Marini_UNIPD02 U_2019,28,23,3,7,10,0.1,10,30.434782608695652
5_Marini_UNIPD02 V_2019,29,39,3,14,10,0.1,10,35.8974358974359
5_Marini_UNIPD02 W_2019,21,36,3,6,10,0.1,10,16.666666666666668
5_Marini_UNIPD02 X_2019,27,41,3,3,10,0.1,10,7.317073170731708
5_Marini_UNIPD02 Y_2019,20,45,2,3,10,0.1,10,6.666666666666667
5_Marini_UNIPD02 Z_2019,15,27,2,14,10,0.1,10,51.851851851851855
6_Marini_UNIPD03 CD13_2020,13,25,2,4,10,0.1,10,16
6_Marini_UNIPD03 CD14_2020,18,30,2,1,10,0.1,10,3.3333333333333335
6_Marini_UNIPD03 CD15_2020,24,43,3,11,10,0.1,10,25.58139534883721
6_Marini_UNIPD03 CD16_2020,26,52,3,7,10,0.1,10,13.461538461538462
6_Marini_UNIPD03 CD17_2020,27,51,3,13,10,0.1,10,25.49019607843137
6_Marini_UNIPD03 CD20_2020,17,44,2,2,10,0.1,10,4.545454545454546
6_Marini_UNIPD03 CD22_2020,22,24,3,5,10,0.1,10,20.833333333333332
6_Marini_UNIPD03 CD23_2020,23,39,3,13,10,0.1,10,33.333333333333336
6_Marini_UNIPD03 CD26_2020,11,26,2,1,10,0.1,10,3.8461538461538463
6_Marini_UNIPD03 CD27_2020,23,34,3,16,10,0.1,10,47.05882352941177
6_Marini_UNIPD03 CD28_2020,27,42,3,10,10,0.1,10,23.80952380952381
6_Marini_UNIPD03 CD29_2020,21,35,3,11,10,0.1,10,31.428571428571427
6_Marini_UNIPD03 CD2_2020,10,22,1,2,10,0.1,10,9.090909090909092
6_Marini_UNIPD03 CD34_2020,14,45,2,2,10,0.1,10,4.444444444444445
6_Marini_UNIPD03 D11_2020,13,28,2,7,10,0.1,10,25
6_Marini_UNIPD03 D17_2020,10,26,1,1,10,0.1,10,3.8461538461538463
6_Marini_UNIPD03 D21_2020,11,23,2,7,10,0.1,10,30.434782608695652
6_Marini_UNIPD03 D24_2020,17,33,2,1,10,0.1,10,3.0303030303030303
6_Marini_UNIPD03 D28_2020,19,32,2,1,10,0.1,10,3.125
6_Marini_UNIPD03 D29_2020,15,28,2,13,10,0.1,10,46.42857142857143
6_Marini_UNIPD03 D34_2020,13,37,2,13,10,0.1,10,35.13513513513514
6_Marini_UNIPD03 D35_2020,13,24,2,3,10,0.1,10,12.5
6_Marini_UNIPD03 D5_2020,17,30,2,7,10,0.1,10,23.333333333333332
6_Marini_UNIPD03 D8_2020,11,18,2,2,10,0.1,10,11.11111111111111
6_Marini_UNIPD03 E14_2020,19,34,2,7,10,0.1,10,20.58823529411765
6_Marini_UNIPD03 E19_2020,19,28,2,11,10,0.1,10,39.285714285714285
6_Marini_UNIPD03 E25_2020,17,24,2,11,10,0.1,10,45.833333333333336
6_Marini_UNIPD03 E26_2020,24,45,3,11,10,0.1,10,24.444444444444443
6_Marini_UNIPD03 E31_2020,13,22,2,2,10,0.1,10,9.090909090909092
6_Marini_UNIPD03 E32_2020,10,20,1,2,10,0.1,10,10
6_Marini_UNIPD03 E33_2020,13,40,2,10,10,0.1,10,25
6_Marini_UNIPD03 E35_2020,14,36,2,5,10,0.1,10,13.88888888888889
6_Marini_UNIPD03 E36_2020,11,42,2,18,10,0.1,10,42.857142857142854
7_Scheper_Chize_10_Field_boundary_2015,37,22,4,0,10,0.1,10,0
7_Scheper_Chize_12_Field_boundary_2015,34,34,4,9,10,0.1,10,26.470588235294116
7_Scheper_Chize_14_Field_boundary_2015,35,38,4,0,10,0.1,10,0
7_Scheper_Chize_19_Field_boundary_2015,32,22,4,2,10,0.1,10,9.090909090909092
7_Scheper_Chize_1_Field_boundary_2015,25,22,3,1,10,0.1,10,4.545454545454546
7_Scheper_Chize_1_Grassland_2015,14,22,2,3,10,0.1,10,13.636363636363637
7_Scheper_Chize_25_Field_boundary_2015,31,27,4,5,10,0.1,10,18.51851851851852
7_Scheper_Chize_4_Field_boundary_2015,25,21,3,1,10,0.1,10,4.761904761904762
7_Scheper_Chize_5_Field_boundary_2015,32,21,4,4,10,0.1,10,19.047619047619047
7_Scheper_Chize_6_Field_boundary_2015,31,35,4,8,10,0.1,10,22.857142857142858
11_Clough_ASK_2021_2021,16,19,3,8,10,0.15000000000000002,15.000000000000002,42.10526315789474
11_Clough_HAM_2021_2021,24,38,4,14,10,0.15000000000000002,15.000000000000002,36.8421052631579
11_Clough_KOM_2021_2021,22,23,4,3,10,0.15000000000000002,15.000000000000002,13.043478260869565
11_Clough_LOB_2021_2021,21,19,4,6,10,0.15000000000000002,15.000000000000002,31.57894736842105
11_Clough_PET_2021_2021,30,36,5,4,10,0.15000000000000002,15.000000000000002,11.11111111111111
11_Clough_TAG_2021_2021,28,35,5,1,10,0.15000000000000002,15.000000000000002,2.857142857142857
12_Ockinger_Norrang_Ryckelsby_Og,25,21,4,10,10,0.15000000000000002,15.000000000000002,47.61904761904762
12_Ockinger_Sattra_Og,26,11,4,1,10,0.15000000000000002,15.000000000000002,9.090909090909092
12_Ockinger_St_Tadinge,28,18,5,6,10,0.15000000000000002,15.000000000000002,33.333333333333336
12_Ockinger_Tjalinge_Skogstibble,35,18,6,1,10,0.15000000000000002,15.000000000000002,5.555555555555555
20_Hoiss_H5_2010,25,81,4,44,10,0.15000000000000002,15.000000000000002,54.32098765432099
20_Hoiss_H6_2010,36,36,6,14,10,0.15000000000000002,15.000000000000002,38.888888888888886
20_Hoiss_H7_2010,31,38,5,12,10,0.15000000000000002,15.000000000000002,31.57894736842105
20_Hoiss_HO1_2010,30,52,5,2,10,0.15000000000000002,15.000000000000002,3.8461538461538463
20_Hoiss_HO5_2010,50,57,8,6,10,0.15000000000000002,15.000000000000002,10.526315789473685
20_Hoiss_T4_2010,32,61,5,4,10,0.15000000000000002,15.000000000000002,6.557377049180328
22_Kallnik_h1_2012,87,11,14,5,10,0.15000000000000002,15.000000000000002,45.45454545454545
22_Kallnik_h2_2011,54,11,9,8,10,0.15000000000000002,15.000000000000002,72.72727272727273
22_Kallnik_h3_2011,71,10,11,7,10,0.15000000000000002,15.000000000000002,70
22_Kallnik_h4_2010,96,10,15,2,10,0.15000000000000002,15.000000000000002,20
22_Kallnik_h4_2011,85,10,13,6,10,0.15000000000000002,15.000000000000002,60
22_Kallnik_h5_2011,54,11,9,9,10,0.15000000000000002,15.000000000000002,81.81818181818181
22_Kallnik_h5_2012,78,11,12,1,10,0.15000000000000002,15.000000000000002,9.090909090909092
22_Kallnik_h6_2011,69,10,11,5,10,0.15000000000000002,15.000000000000002,50
22_Kallnik_h7_2011,63,10,10,7,10,0.15000000000000002,15.000000000000002,70
22_Kallnik_ho2_2011,68,10,11,6,10,0.15000000000000002,15.000000000000002,60
22_Kallnik_ho3_2011,49,12,8,5,10,0.15000000000000002,15.000000000000002,41.666666666666664
22_Kallnik_ho3_2012,61,10,10,8,10,0.15000000000000002,15.000000000000002,80
22_Kallnik_ho4_2010,76,10,12,8,10,0.15000000000000002,15.000000000000002,80
22_Kallnik_ho4_2011,71,13,11,11,10,0.15000000000000002,15.000000000000002,84.61538461538461
22_Kallnik_ho4_2012,79,12,12,4,10,0.15000000000000002,15.000000000000002,33.333333333333336
22_Kallnik_ho5_2011,59,12,9,4,10,0.15000000000000002,15.000000000000002,33.333333333333336
22_Kallnik_wma3_2011,53,10,8,7,10,0.15000000000000002,15.000000000000002,70
22_Kallnik_wma3_2012,71,10,11,4,10,0.15000000000000002,15.000000000000002,40
22_Kallnik_wma4_2011,50,11,8,0,10,0.15000000000000002,15.000000000000002,0
22_Kallnik_wma5_2011,55,10,9,8,10,0.15000000000000002,15.000000000000002,80
22_Kallnik_wmb1_2012,92,11,14,6,10,0.15000000000000002,15.000000000000002,54.54545454545455
22_Kallnik_wmb2_2011,89,12,14,7,10,0.15000000000000002,15.000000000000002,58.333333333333336
22_Kallnik_wmb2_2012,108,11,17,3,10,0.15000000000000002,15.000000000000002,27.272727272727273
22_Kallnik_wmb3_2011,90,10,14,7,10,0.15000000000000002,15.000000000000002,70
22_Kallnik_wmb3_2012,106,10,16,7,10,0.15000000000000002,15.000000000000002,70
22_Kallnik_wmb4_2010,84,12,13,1,10,0.15000000000000002,15.000000000000002,8.333333333333334
22_Kallnik_wmb4_2011,78,13,12,8,10,0.15000000000000002,15.000000000000002,61.53846153846154
22_Kallnik_wmb4_2012,87,11,14,6,10,0.15000000000000002,15.000000000000002,54.54545454545455
22_Kallnik_wmb5_2010,91,11,14,9,10,0.15000000000000002,15.000000000000002,81.81818181818181
22_Kallnik_wmb5_2011,82,11,13,3,10,0.15000000000000002,15.000000000000002,27.272727272727273
22_Kallnik_wmb5_2012,90,11,14,5,10,0.15000000000000002,15.000000000000002,45.45454545454545
28_Sutter_10_2013,44,16,7,11,10,0.15000000000000002,15.000000000000002,68.75
28_Sutter_11_2013,38,14,6,6,10,0.15000000000000002,15.000000000000002,42.857142857142854
28_Sutter_12_2013,34,12,6,8,10,0.15000000000000002,15.000000000000002,66.66666666666667
28_Sutter_13_2013,45,13,7,8,10,0.15000000000000002,15.000000000000002,61.53846153846154
28_Sutter_13_2014,30,11,5,4,10,0.15000000000000002,15.000000000000002,36.36363636363637
28_Sutter_14_2013,20,12,4,4,10,0.15000000000000002,15.000000000000002,33.333333333333336
28_Sutter_17_2013,47,17,8,9,10,0.15000000000000002,15.000000000000002,52.94117647058823
28_Sutter_19_2013,35,20,6,5,10,0.15000000000000002,15.000000000000002,25
28_Sutter_1_2013,46,14,7,4,10,0.15000000000000002,15.000000000000002,28.571428571428573
28_Sutter_20_2013,24,15,4,7,10,0.15000000000000002,15.000000000000002,46.666666666666664
28_Sutter_21_2013,43,16,7,0,10,0.15000000000000002,15.000000000000002,0
28_Sutter_2_2013,29,15,5,2,10,0.15000000000000002,15.000000000000002,13.333333333333334
28_Sutter_3_2013,34,21,6,11,10,0.15000000000000002,15.000000000000002,52.38095238095238
28_Sutter_5_2013,50,23,8,9,10,0.15000000000000002,15.000000000000002,39.130434782608695
28_Sutter_8_2013,34,17,6,11,10,0.15000000000000002,15.000000000000002,64.70588235294117
28_Sutter_8_2014,22,18,4,15,10,0.15000000000000002,15.000000000000002,83.33333333333333
29_Magrach_Gibraleon_2011,16,27,3,8,10,0.15000000000000002,15.000000000000002,29.62962962962963
29_Magrach_Gravera_2011,18,25,3,4,10,0.15000000000000002,15.000000000000002,16
29_Magrach_Niebla_2011,18,31,3,7,10,0.15000000000000002,15.000000000000002,22.580645161290324
29_Magrach_Niebla_2012,21,26,4,7,10,0.15000000000000002,15.000000000000002,26.923076923076923
29_Magrach_Villablanca_2011,18,22,3,3,10,0.15000000000000002,15.000000000000002,13.636363636363637
2_Petanidou_Armolia_2015,37,73,6,13,10,0.15000000000000002,15.000000000000002,17.80821917808219
2_Petanidou_Emborios_2015,21,80,4,49,10,0.15000000000000002,15.000000000000002,61.25
2_Petanidou_Gridia_2015,38,73,6,18,10,0.15000000000000002,15.000000000000002,24.65753424657534
2_Petanidou_Kato Fana_2015,14,60,3,12,10,0.15000000000000002,15.000000000000002,20
2_Petanidou_Palios Katarraktis_2015,39,73,6,20,10,0.15000000000000002,15.000000000000002,27.397260273972602
2_Petanidou_Vessa 2_2015,28,98,5,5,10,0.15000000000000002,15.000000000000002,5.1020408163265305
30_Smith_lsk48_2012,30,22,5,2,10,0.15000000000000002,15.000000000000002,9.090909090909092
30_Smith_lsk57_2011,33,20,5,0,10,0.15000000000000002,15.000000000000002,0
30_Smith_lsk73_2012,28,19,5,1,10,0.15000000000000002,15.000000000000002,5.2631578947368425
30_Smith_lsk74_2012,27,26,5,0,10,0.15000000000000002,15.000000000000002,0
30_Smith_lsk77_2011,22,19,4,1,10,0.15000000000000002,15.000000000000002,5.2631578947368425
30_Smith_lsk77_2012,42,25,7,2,10,0.15000000000000002,15.000000000000002,8
31_Roberts_Hunt_2013,44,12,7,2,10,0.15000000000000002,15.000000000000002,16.666666666666668
31_Roberts_Jefferies_2013,31,13,5,4,10,0.15000000000000002,15.000000000000002,30.76923076923077
31_Roberts_Livingstone_far_2012,30,12,5,9,10,0.15000000000000002,15.000000000000002,75
31_Roberts_Livingstone_house_2012,30,14,5,1,10,0.15000000000000002,15.000000000000002,7.142857142857143
31_Roberts_Mearns_2013,32,19,5,4,10,0.15000000000000002,15.000000000000002,21.05263157894737
31_Roberts_White_left_2012,42,19,7,5,10,0.15000000000000002,15.000000000000002,26.31578947368421
36_Larkin_Barracks.Lyan.Co.Clare_13.2017_GS1,13,11,2,2,10,0.15000000000000002,15.000000000000002,18.181818181818183
36_Larkin_Glencolumbkille.South.Carron.Co.Clare_20.2017_GS1,12,13,2,6,10,0.15000000000000002,15.000000000000002,46.15384615384615
37_White_An,15,23,3,3,10,0.15000000000000002,15.000000000000002,13.043478260869565
37_White_Bl,19,27,3,9,10,0.15000000000000002,15.000000000000002,33.333333333333336
37_White_Bn,20,26,4,13,10,0.15000000000000002,15.000000000000002,50
37_White_CW,26,33,4,5,10,0.15000000000000002,15.000000000000002,15.151515151515152
37_White_Ce,18,20,3,14,10,0.15000000000000002,15.000000000000002,70
37_White_Cn,29,34,5,18,10,0.15000000000000002,15.000000000000002,52.94117647058823
37_White_ED,13,19,2,7,10,0.15000000000000002,15.000000000000002,36.8421052631579
37_White_Fs,22,21,4,10,10,0.15000000000000002,15.000000000000002,47.61904761904762
37_White_JK,25,24,4,3,10,0.15000000000000002,15.000000000000002,12.5
37_White_Kr,29,17,5,7,10,0.15000000000000002,15.000000000000002,41.1764705882353
37_White_ND,25,22,4,14,10,0.15000000000000002,15.000000000000002,63.63636363636363
37_White_NG,21,25,4,6,10,0.15000000000000002,15.000000000000002,24
37_White_Pn,12,17,2,5,10,0.15000000000000002,15.000000000000002,29.41176470588235
37_White_WD,15,23,3,3,10,0.15000000000000002,15.000000000000002,13.043478260869565
38_Maurer_A1,47,27,8,10,10,0.15000000000000002,15.000000000000002,37.03703703703704
38_Maurer_A2,76,40,12,12,10,0.15000000000000002,15.000000000000002,30
38_Maurer_A3,69,31,11,8,10,0.15000000000000002,15.000000000000002,25.806451612903224
38_Maurer_A4,58,31,9,13,10,0.15000000000000002,15.000000000000002,41.935483870967744
38_Maurer_R1,72,42,11,17,10,0.15000000000000002,15.000000000000002,40.476190476190474
38_Maurer_R2,54,51,9,14,10,0.15000000000000002,15.000000000000002,27.45098039215686
38_Maurer_R3,95,48,15,18,10,0.15000000000000002,15.000000000000002,37.5
38_Maurer_R4,66,37,10,14,10,0.15000000000000002,15.000000000000002,37.83783783783784
38_Maurer_U2,113,64,17,14,10,0.15000000000000002,15.000000000000002,21.875
38_Maurer_U3,92,49,14,0,10,0.15000000000000002,15.000000000000002,0
39_Schweiger_I1_ruderal_1_2021,23,20,4,2,10,0.15000000000000002,15.000000000000002,10
39_Schweiger_I2_semi.natural.grass_5_2021,18,27,3,6,10,0.15000000000000002,15.000000000000002,22.22222222222222
39_Schweiger_I2_woodland.scrub_1_2021,23,22,4,8,10,0.15000000000000002,15.000000000000002,36.36363636363637
39_Schweiger_I4_woodland.scrub_3_2021,22,21,4,2,10,0.15000000000000002,15.000000000000002,9.523809523809524
39_Schweiger_R1_semi.natural.grass_4_2021,15,23,3,2,10,0.15000000000000002,15.000000000000002,8.695652173913043
39_Schweiger_R4_semi.natural.grass_2_2021,11,25,2,4,10,0.15000000000000002,15.000000000000002,16
40_Knight_Ghe_ari_2017,30,129,5,36,10,0.15000000000000002,15.000000000000002,27.906976744186046
41_Knight_1 wooded meadow_2018,39,37,6,1,10,0.15000000000000002,15.000000000000002,2.7027027027027026
41_Knight_2 alvar pasture_2018,32,17,5,2,10,0.15000000000000002,15.000000000000002,11.764705882352942
41_Knight_3 alvar pasture_2018,21,34,4,27,10,0.15000000000000002,15.000000000000002,79.41176470588235
41_Knight_4 wooded meadow_2018,30,23,5,1,10,0.15000000000000002,15.000000000000002,4.3478260869565215
41_Knight_5 wooded meadow_2018,27,47,5,5,10,0.15000000000000002,15.000000000000002,10.638297872340425
41_Knight_6 alvar pasture_2018,37,23,6,0,10,0.15000000000000002,15.000000000000002,0
42_Knight_M1Restored_2019,45,25,7,6,10,0.15000000000000002,15.000000000000002,24
42_Knight_M2Natural_2019,31,19,5,0,10,0.15000000000000002,15.000000000000002,0
42_Knight_M3Natural_2019,37,17,6,2,10,0.15000000000000002,15.000000000000002,11.764705882352942
42_Knight_M4Restored_2019,33,19,5,4,10,0.15000000000000002,15.000000000000002,21.05263157894737
42_Knight_M5Restored_2019,37,21,6,2,10,0.15000000000000002,15.000000000000002,9.523809523809524
42_Knight_M6Natural_2019,47,35,8,12,10,0.15000000000000002,15.000000000000002,34.285714285714285
42_Knight_M8Restored_2019,32,15,5,0,10,0.15000000000000002,15.000000000000002,0
44_Knight_M11_2018,46,33,7,6,10,0.15000000000000002,15.000000000000002,18.181818181818183
44_Knight_M12_2018,43,55,7,27,10,0.15000000000000002,15.000000000000002,49.09090909090909
44_Knight_M13_2018,32,23,5,4,10,0.15000000000000002,15.000000000000002,17.391304347826086
44_Knight_M15_2018,45,58,7,17,10,0.15000000000000002,15.000000000000002,29.310344827586206
44_Knight_M16_2018,50,50,8,12,10,0.15000000000000002,15.000000000000002,24
44_Knight_M17_2018,33,48,5,14,10,0.15000000000000002,15.000000000000002,29.166666666666668
44_Knight_M18_2018,39,44,6,8,10,0.15000000000000002,15.000000000000002,18.181818181818183
44_Knight_M1_2018,23,37,4,2,10,0.15000000000000002,15.000000000000002,5.405405405405405
44_Knight_M3_2018,57,63,9,22,10,0.15000000000000002,15.000000000000002,34.92063492063492
44_Knight_M4_2018,46,56,7,10,10,0.15000000000000002,15.000000000000002,17.857142857142858
44_Knight_M6_2018,69,33,11,10,10,0.15000000000000002,15.000000000000002,30.303030303030305
44_Knight_M8_2018,67,41,11,8,10,0.15000000000000002,15.000000000000002,19.51219512195122
45_Knight_Hermanovice_meadow_2018,32,47,5,4,10,0.15000000000000002,15.000000000000002,8.51063829787234
45_Knight_HorniGrunt_meadow_2018,26,38,4,20,10,0.15000000000000002,15.000000000000002,52.63157894736842
45_Knight_Mnichov_meadow_2018,29,53,5,11,10,0.15000000000000002,15.000000000000002,20.754716981132077
46_Knight_Gora_Gipsowa_2018,37,41,6,10,10,0.15000000000000002,15.000000000000002,24.390243902439025
47_Benadi_1,81,190,13,44,10,0.15000000000000002,15.000000000000002,23.157894736842106
47_Benadi_2,54,162,9,30,10,0.15000000000000002,15.000000000000002,18.51851851851852
47_Benadi_3,67,150,11,24,10,0.15000000000000002,15.000000000000002,16
47_Benadi_4,55,144,9,11,10,0.15000000000000002,15.000000000000002,7.638888888888889
47_Benadi_5,68,131,11,25,10,0.15000000000000002,15.000000000000002,19.083969465648856
47_Benadi_6,63,96,10,43,10,0.15000000000000002,15.000000000000002,44.791666666666664
4_Marini_UNIPD01 A_2018,23,69,4,19,10,0.15000000000000002,15.000000000000002,27.536231884057973
